stage,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,time_s
Stage 1: Classifier Head (AdamW),1,0.2012,0.9191,0.1479,0.9419,0.9874,276.3
Stage 1: Classifier Head (AdamW),2,0.1403,0.9459,0.1277,0.9492,0.9897,278.6
Stage 1: Classifier Head (AdamW),3,0.1139,0.9564,0.1165,0.9553,0.9911,277.7
Stage 2: Fine-Tuning (AdamW),1,0.0938,0.9651,0.0943,0.9653,0.9941,322.2
Stage 2: Fine-Tuning (AdamW),2,0.0757,0.9724,0.0844,0.9688,0.9952,322.5
Stage 2: Fine-Tuning (AdamW),3,0.0634,0.9775,0.078,0.9719,0.9959,323.3
Stage 2: Fine-Tuning (AdamW),4,0.0548,0.9807,0.0751,0.9727,0.9962,319.4
Stage 2: Fine-Tuning (AdamW),5,0.05,0.9825,0.0734,0.9733,0.9964,311.2
Stage 2: Fine-Tuning (AdamW),6,0.047,0.9835,0.0728,0.9734,0.9965,311.5
Stage 2: Fine-Tuning (AdamW),7,0.0453,0.9841,0.0725,0.9736,0.9965,311.5
Stage 1: Classifier Head (Adam),1,0.249,0.899,0.244,0.8981,0.9731,270.1
Stage 1: Classifier Head (Adam),2,0.2156,0.9162,0.1868,0.9295,0.9784,271.0
Stage 1: Classifier Head (Adam),3,0.1944,0.926,0.1734,0.935,0.9826,270.5
Stage 2: Fine-Tuning (Adam),1,0.1606,0.9396,0.134,0.9502,0.989,311.6
Stage 2: Fine-Tuning (Adam),2,0.1329,0.95,0.1152,0.9564,0.9918,312.3
Stage 2: Fine-Tuning (Adam),3,0.1166,0.9577,0.1051,0.9614,0.9931,313.1
Stage 2: Fine-Tuning (Adam),4,0.1062,0.9612,0.0989,0.9645,0.9939,312.6
Stage 2: Fine-Tuning (Adam),5,0.0999,0.9636,0.0958,0.965,0.9942,313.0
Stage 2: Fine-Tuning (Adam),6,0.0961,0.9652,0.0944,0.9659,0.9944,312.5
Stage 2: Fine-Tuning (Adam),7,0.0957,0.966,0.0938,0.9663,0.9944,312.5
